study_time,exam_score
75,80
50,60
110,90
45,55
80,85
95,88
65,70
120,92
55,65
100,87
85,78
130,94
70,75
40,50
105,86
60,68
140,96
90,82
75,80
150,97
95,85
50,62
115,88
65,72
160,98
80,86
55,65
125,90
70,75
170,98
105,90
85,80
45,55
180,98
100,88
60,68
110,85
75,80
190,99
120,92
95,85
65,70
200,99
130,94
85,80
80,85
70,75
210,99
140,96
105,90
50,62
90,86
220,99
150,97
115,88
110,85
60,70
230,100
160,98
125,90
120,92
115,88
70,75
240,100
170,98
135,92
85,80
125,90
130,94
250,100
180,99
145,94
135,92
95,85
140,96
260,100
190,99
155,96
145,94
100,87
150,97
270,100
200,99
165,98
155,96
105,90
155,96
280,100
210,99
175,98
165,98
110,85
160,98
290,100
220,99
185,99
175,98
115,88
165,98
300,100
230,100
195,99
185,99
120,92
170,98
310,100
240,100
205,99
195,99
125,90
175,98
320,100
250,100
215,99
205,99
130,94
180,99
330,100
260,100
225,100
215,99
135,92
185,99
340,100
270,100
235,100
225,100
140,96
190,99
350,100
280,100
245,100
235,100
145,94
195,99
